,Account Name,Provider Client,Subject,Bill Amt,Purch Amt,ROI_Categoria
50,Ace Law Group,LVR,Imaging,150.0,45.0,Rentabilidad media
56,Ace Law Group,LVR,Imaging,150.0,45.0,Baja rentabilidad
59,Ace Law Group,LVR,Imaging,1100.0,330.0,Baja rentabilidad
60,Ace Law Group,Valley Health System,Surgery,140039.0,33222.9,Pérdida
61,Ace Law Group,Parkway Surgery Center,Pain Management,12921.0,4263.93,Pérdida
65,Ace Law Group,LVR,Imaging,750.0,225.0,Alta rentabilidad
66,Ace Law Group,LVR,Imaging,1100.0,330.0,Alta rentabilidad
70,Ace Law Group,LVR,Imaging,150.0,45.0,Baja rentabilidad
74,Ace Law Group,LVR,Imaging,1650.0,495.0,Baja rentabilidad
77,Ace Law Group,West Sunset Surgery Center,Surgery,9293091.0,20405.78,Rentabilidad media
81,Ace Law Group,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
83,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
86,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,392.0,Rentabilidad media
87,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,420.0,Pérdida
88,Ace Law Group,Pueblo Medical Imaging,Imaging,300.0,84.0,Baja rentabilidad
89,Ace Law Group,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
94,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
95,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,420.0,Rentabilidad media
96,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,392.0,Rentabilidad media
97,Ace Law Group,Pueblo Medical Imaging,Imaging,300.0,84.0,Rentabilidad media
103,Ace Law Group,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
107,Ace Law Group,Pueblo Medical Imaging,Imaging,1125.0,315.0,Baja rentabilidad
113,Ace Law Group,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
117,Ace Law Group,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
119,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
123,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
124,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
127,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
128,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
131,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,ROI extremo/anómalo
133,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
134,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,560.0,Pérdida
135,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
136,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,560.0,Baja rentabilidad
137,Ace Law Group,Pueblo Medical Imaging,Imaging,2000.0,560.0,Baja rentabilidad
138,Ace Law Group,Pueblo Medical Imaging,Imaging,400.0,112.0,Baja rentabilidad
139,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
140,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
141,Ace Law Group,Pueblo Medical Imaging,Imaging,1125.0,315.0,Baja rentabilidad
142,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
144,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Pérdida
145,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
148,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
149,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
152,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
153,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,560.0,Baja rentabilidad
154,Ace Law Group,Pueblo Medical Imaging,Imaging,2000.0,560.0,Baja rentabilidad
155,Ace Law Group,Pueblo Medical Imaging,Imaging,2120.0,594.0,Rentabilidad media
156,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,560.0,Rentabilidad media
157,Ace Law Group,Pueblo Medical Imaging,Imaging,2150.0,420.0,Rentabilidad media
158,Ace Law Group,Suarez Physical Therapy,Physical Therapy,12451.0,3735.3,Baja rentabilidad
159,Ace Law Group,Suarez Physical Therapy,Physical Therapy,4885.0,1465.5,Baja rentabilidad
160,Ace Law Group,Suarez Physical Therapy,Physical Therapy,15688.0,4706.4,Baja rentabilidad
164,Ace Law Group,Pueblo Medical Imaging,Imaging,2120.0,594.0,Baja rentabilidad
165,Ace Law Group,Pueblo Medical Imaging,Imaging,2150.0,420.0,Baja rentabilidad
166,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,560.0,Baja rentabilidad
167,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
169,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
171,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
174,Ace Law Group,Pueblo Medical Imaging,Imaging,1500.0,420.0,Rentabilidad media
175,Ace Law Group,Pueblo Medical Imaging,Imaging,300.0,84.0,Rentabilidad media
176,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
181,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
182,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
184,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
196,Ace Law Group,Suarez Physical Therapy,Physical Therapy,11916.0,3574.8,Rentabilidad media
197,Ace Law Group,Suarez Physical Therapy,Physical Therapy,5460.0,1638.0,Rentabilidad media
198,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
199,Ace Law Group,Pueblo Medical Imaging,Imaging,2010.0,563.0,Rentabilidad media
200,Ace Law Group,Pueblo Medical Imaging,Imaging,1000.0,308.0,Rentabilidad media
206,Ace Law Group,Jackson Physical Therapy,Physical Therapy,4159.0,1455.65,Baja rentabilidad
207,Ace Law Group,Jackson Physical Therapy,Physical Therapy,4563.0,1597.05,Baja rentabilidad
208,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
209,Ace Law Group,Jackson Physical Therapy,Physical Therapy,2626.0,866.58,Rentabilidad media
210,Ace Law Group,Jackson Physical Therapy,Physical Therapy,3509.0,1157.97,Baja rentabilidad
212,Ace Law Group,Suarez Physical Therapy,Physical Therapy,23173.0,7415.36,Baja rentabilidad
213,Adamson Ahdoot LLP,Precision Medical Products,Medical Device,5245.0,1311.25,Alta rentabilidad
214,Adamson Ahdoot LLP,Precision Medical Products,Medical Device,4250.0,1062.5,Alta rentabilidad
215,Adamson Ahdoot LLP,Precision Medical Products,Medical Device,3548.97,887.24,Alta rentabilidad
216,Agwara Law,Ascension Medical Center,Pain Management,1200.0,360.0,Baja rentabilidad
217,Agwara Law,Ascension Medical Center,Pain Management,1280.0,384.0,Baja rentabilidad
219,Allen Injury Law LLC,Precision Medical Products,Medical Device,4250.0,1062.5,Alta rentabilidad
220,Angulo Law Group,Simpson Chiropractic,Chiropractic,2955.0,738.75,Baja rentabilidad
221,Angulo Law Group,Simpson Chiropractic,Chiropractic,1495.0,373.75,Rentabilidad media
222,Angulo Law Group,Simpson Chiropractic,Chiropractic,4660.0,1165.0,Rentabilidad media
223,Angulo Law Group,Simpson Chiropractic,Chiropractic,3515.0,878.75,Baja rentabilidad
224,Angulo Law Group,Simpson Chiropractic,Chiropractic,3000.0,750.0,Baja rentabilidad
225,Angulo Law Group,Simpson Chiropractic,Chiropractic,3185.0,796.25,Rentabilidad media
226,Angulo Law Group,Simpson Chiropractic,Chiropractic,6255.0,1563.75,Rentabilidad media
227,Angulo Law Group,Simpson Chiropractic,Chiropractic,4545.0,1136.25,Rentabilidad media
228,Angulo Law Group,Simpson Chiropractic,Chiropractic,1940.0,485.0,Rentabilidad media
229,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,500.0,140.0,Rentabilidad media
230,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
233,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,150.0,50.0,ROI extremo/anómalo
234,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,1950.0,546.0,ROI extremo/anómalo
235,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,1595.0,447.0,ROI extremo/anómalo
237,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,312.0,88.0,ROI extremo/anómalo
238,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
239,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,1200.0,250.0,Baja rentabilidad
240,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
241,Atkinson Watkins & Hoffman Attorneys,Pueblo Medical Imaging,Imaging,1200.0,250.0,Alta rentabilidad
242,Ayala Morgan & Buzzard,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
246,BANAFSHE LAW FIRM PC,Precision Medical Products,Medical Device,4250.0,1062.5,Alta rentabilidad
247,BANAFSHE LAW FIRM PC,Precision Medical Products,Medical Device,995.0,248.75,Baja rentabilidad
248,BANAFSHE LAW FIRM PC,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
249,BANAFSHE LAW FIRM PC,Precision Medical Products,Medical Device,3548.97,887.24,Baja rentabilidad
250,BD & J Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
251,BD & J Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Pérdida
252,BD & J Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
253,BD & J Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Rentabilidad media
257,BD & J Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Rentabilidad media
258,BD & J Law Firm,Precision Medical Products,Medical Device,189.72,47.43,Rentabilidad media
260,BD & J Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Rentabilidad media
262,Benjamin Nadig Law,Simpson Chiropractic,Chiropractic,2680.0,723.6,Rentabilidad media
263,Benjamin Nadig Law,Simpson Chiropractic,Chiropractic,4110.0,1109.7,Rentabilidad media
264,Benjamin Nadig Law,Simpson Chiropractic,Chiropractic,2075.0,664.0,Rentabilidad media
265,Benjamin Nadig Law,Simpson Chiropractic,Chiropractic,4620.0,1478.0,Baja rentabilidad
266,Benjamin Nadig Law,Simpson Chiropractic,Chiropractic,9185.0,2479.95,Rentabilidad media
267,Benjamin Nadig Law,Simpson Chiropractic,Chiropractic,5195.0,1402.65,Alta rentabilidad
268,Benjamin Nadig Law,Simpson Chiropractic,Chiropractic,3510.0,1123.2,Baja rentabilidad
269,Benson Allred Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
270,Benson Allred Injury Law,Pueblo Medical Imaging,Imaging,1650.0,392.0,ROI extremo/anómalo
271,Benson Allred Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
275,Benson Allred Injury Law,Valley Health System,Surgery,248436.0,68639.13,Baja rentabilidad
276,Berg Law California,Simpson Chiropractic,Chiropractic,7665.0,2452.8,Baja rentabilidad
277,Berg Law California,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
278,Berg Law California,Precision Medical Products,Medical Device,2694.69,673.67,Baja rentabilidad
279,Beverly Law,Precision Medical Products,Medical Device,4250.0,1062.5,Pérdida
280,Beverly Law,Precision Medical Products,Medical Device,995.0,278.6,Rentabilidad media
281,Beverly Law,Precision Medical Products,Medical Device,4439.72,1109.93,Baja rentabilidad
282,Bighorn Law Las Vegas,Pueblo Medical Imaging,Imaging,150.0,50.0,ROI extremo/anómalo
284,Bighorn Law Las Vegas,Pueblo Medical Imaging,Imaging,1125.0,315.0,Alta rentabilidad
293,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
298,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
299,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
301,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,585.0,164.0,Rentabilidad media
303,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
306,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
309,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
310,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
311,Blackburn Wirth Injury Team,Law Office of Stephen Reid,Imaging,1650.0,462.0,Rentabilidad media
313,Blackburn Wirth Injury Team,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
321,Blackburn Wirth Injury Team,Simpson Chiropractic,Chiropractic,4480.0,1344.0,Rentabilidad media
322,Bruning Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Alta rentabilidad
323,Burris & Thomas Law,Surgical Arts Centre,Pain Management,10891.32,3594.14,ROI extremo/anómalo
327,Cardenas Law Group,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
330,Cardenas Law Group,Pueblo Medical Imaging,Imaging,150.0,45.0,Rentabilidad media
331,Cardenas Law Group,Pueblo Medical Imaging,Lien,1650.0,462.0,Alta rentabilidad
333,Cardenas Law Group,Simpson Chiropractic,Chiropractic,4480.0,1433.6,Rentabilidad media
334,Cardenas Law Group,Pueblo Medical Imaging,Chiropractic,4705.0,1505.6,Rentabilidad media
335,Carpenter & Zuckerman,Precision Medical Products,Medical Device,995.0,248.75,Rentabilidad media
336,Carpenter & Zuckerman,Precision Medical Products,Medical Device,1990.0,497.5,Pérdida
337,Carpenter & Zuckerman,Precision Medical Products,Medical Device,4250.0,1062.5,Rentabilidad media
338,Carpenter & Zuckerman,Precision Medical Products,Medical Device,995.0,248.75,Rentabilidad media
340,Ace Law Group,Simpson Chiropractic,Chiropractic,3925.0,1256.0,Baja rentabilidad
341,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
342,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
351,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
358,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
361,Ace Law Group,Pueblo Medical Imaging,Imaging,1125.0,315.0,Baja rentabilidad
362,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
374,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
375,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
379,Ace Law Group,Pueblo Medical Imaging,Imaging,2010.0,563.0,Baja rentabilidad
380,Ace Law Group,Pueblo Medical Imaging,Imaging,600.0,168.0,Baja rentabilidad
381,Ace Law Group,Pueblo Medical Imaging,Imaging,500.0,140.0,Baja rentabilidad
384,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
393,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
396,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
398,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
412,Ace Law Group,Pueblo Medical Imaging,Imaging,5385.0,1509.0,Baja rentabilidad
413,Ace Law Group,Pueblo Medical Imaging,Imaging,1125.0,315.0,Baja rentabilidad
422,Ace Law Group,Pueblo Medical Imaging,Imaging,1000.0,308.0,Baja rentabilidad
423,Ace Law Group,Pueblo Medical Imaging,Imaging,2010.0,563.0,Baja rentabilidad
426,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
435,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
449,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
451,Ace Law Group,Suarez Physical Therapy,Physical Therapy,18739.4,5621.82,Baja rentabilidad
455,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
473,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
475,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
485,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
489,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
490,Ace Law Group,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
505,Ace Law Group,Pueblo Medical Imaging,Imaging,165.0,47.0,Alta rentabilidad
507,Ace Law Group,Jackson Physical Therapy,Physical Therapy,1034.0,341.22,Baja rentabilidad
510,Compass Law Group,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
511,Compass Law Group,Precision Medical Products,Medical Device,3548.97,887.24,Baja rentabilidad
512,Compass Law Group,Precision Medical Products,Medical Device,995.0,248.75,Baja rentabilidad
513,Compass Law Group,Precision Medical Products,Medical Device,334.5,83.63,Baja rentabilidad
514,Connell Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
517,Connell Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
519,Connell Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
520,David W Fassett Personal Injury Law,LVR,Administrative,1650.0,495.0,Baja rentabilidad
522,David W Fassett Personal Injury Law,LVR,Administrative,1650.0,495.0,Baja rentabilidad
523,David W Fassett Personal Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
526,David W Fassett Personal Injury Law,LVR,Imaging,1650.0,495.0,Baja rentabilidad
528,Dias Hall Law,Precision Medical Products,Medical Device,4250.0,1062.5,Rentabilidad media
529,Dias Hall Law,Precision Medical Products,Medical Device,4250.0,1062.5,Rentabilidad media
530,Dias Hall Law,Precision Medical Products,Medical Device,4250.0,1062.5,Alta rentabilidad
531,Dias Hall Law,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
532,Dimopoulos Injury Law,Pueblo Medical Imaging,Physical Therapy,545.0,163.5,Pérdida
533,Dimopoulos Injury Law,Pueblo Medical Imaging,Imaging,1125.0,315.0,Baja rentabilidad
535,Dimopoulos Injury Law,OpenSided MRI of Las Vegas,Imaging,1645.0,500.0,Rentabilidad media
536,Dimopoulos Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
537,Dimopoulos Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
538,Dimopoulos Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
540,Dimopoulos Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
544,Downtown LA Law Group,Precision Medical Products,Medical Device,4250.0,1275.0,Baja rentabilidad
545,Downtown LA Law Group,Precision Medical Products,Medical Device,995.0,248.75,Alta rentabilidad
546,Downtown LA Law Group,Precision Medical Products,Medical Device,7798.97,1949.74,Baja rentabilidad
547,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,150.0,42.0,Pérdida
551,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,Pérdida
553,ER Injury Attorneys,Simpson Chiropractic,Chiropractic,4960.0,1587.2,Baja rentabilidad
554,ER Injury Attorneys,Simpson Chiropractic,Chiropractic,10480.0,3353.6,Baja rentabilidad
555,ER Injury Attorneys,Simpson Chiropractic,Chiropractic,5215.0,1668.8,Baja rentabilidad
556,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
557,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1650.0,420.0,Baja rentabilidad
558,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1650.0,392.0,Baja rentabilidad
560,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,300.0,84.0,Baja rentabilidad
561,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
564,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
566,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
568,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
571,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
573,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
576,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
577,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1125.0,315.0,Rentabilidad media
579,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
582,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
585,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
587,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
589,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
593,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
594,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
596,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
599,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,560.0,Baja rentabilidad
600,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,2000.0,560.0,Baja rentabilidad
601,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,400.0,112.0,Baja rentabilidad
602,ER Injury Attorneys,LVC Surgery Center,Surgery,7398.0,2441.34,Rentabilidad media
604,ER Injury Attorneys,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
605,ER Injury Attorneys,Simpson Chiropractic,Chiropractic,10540.0,2635.0,Pérdida
608,ER Injury Attorneys,Suarez Physical Therapy,Physical Therapy,6061.8,1939.78,Rentabilidad media
609,Farahi Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Rentabilidad media
610,Farahi Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
611,Farahi Law Firm,Precision Medical Products,Medical Device,4250.0,1062.5,Baja rentabilidad
612,Fuller Law Practice,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
616,Fuller Law Practice,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
621,G Dallas Horton & Associates,Pueblo Medical Imaging,Lien,1650.0,462.0,Rentabilidad media
622,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
623,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
625,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
626,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
629,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
630,G Dallas Horton & Associates,LVR,Imaging,1650.0,495.0,Rentabilidad media
632,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
633,G Dallas Horton & Associates,Pueblo Medical Imaging,Lien,1950.0,504.0,Alta rentabilidad
634,G Dallas Horton & Associates,Pueblo Medical Imaging,Lien,1783.0,546.0,Rentabilidad media
635,G Dallas Horton & Associates,Pueblo Medical Imaging,Lien,150.0,42.0,Baja rentabilidad
638,G Dallas Horton & Associates,Pueblo Medical Imaging,Lien,150.0,45.0,Rentabilidad media
639,G Dallas Horton & Associates,Pueblo Medical Imaging,Lien,1950.0,546.0,Rentabilidad media
640,G Dallas Horton & Associates,Pueblo Medical Imaging,Lien,1783.0,504.0,Rentabilidad media
641,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,Rentabilidad media
642,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
643,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
647,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
651,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
658,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Pérdida
